lib_name,lib_code
B841.1电生理技术,B841.1
B841.2数理心理学、心理统计法,B841.2
B841.3条件反射研究法,B841.3
B841.4实验法,B841.4
B841.5观察法,B841.5
B841.7心理测验,B841.7
B842心理过程与心理状态,B842
B842.1认知,B842.1
B842.2感觉与知觉,B842.2
B842.3学习与记忆,B842.3
B842.4表象与想象,B842.4
B842.5言语与思维,B842.5
B842.6情绪与情感,B842.6
B842.7意识与潜意识,B842.7
B842.9其他,B842.9
B843发生心理学,B843
B843.1比较心理学,B843.1
B843.2动物心理学,B843.2
B843.3原始人类心理学,B843.3
B843.5心理与遗传,B843.5
B843.9其他,B843.9
B844发展心理学(人类心理学),B844
B844.1儿童心理学,B844.1
B844.11胎儿、新生儿心理学,B844.11
B844.12幼儿心理学,B844.12
B844.13智力超常儿童心理学,B844.13
B844.14变态儿童心理学,B844.14
B844.2青少年心理学,B844.2
B844.3成年人心理学,B844.3
B844.4老年人心理学,B844.4
B844.5女性心理学,B844.5
B844.6男性心理学,B844.6
B844.7种族心理学,B844.7
B845生理心理学,B845
B845.1神经心理,B845.1
B845.2感官生理心理,B845.2
B845.3内分泌与心理,B845.3
B845.4精神药物与心理,B845.4
B845.5神经化学与心理,B845.5
B845.6环境与生理心理,B845.6
B845.61居住环境与心理,B845.61
B845.63建筑、音响、照明与心理,B845.63
B845.65生态环境与心理,B845.65
B845.66特殊环境与心理,B845.66
B845.67灾害、事故、伤害与心理,B845.67
B845.9其他,B845.9
B846变态心理学、病态心理学、超意识心理学,B846
B848个性心理学（人格心理学）,B848
B848.1神经类型与气质,B848.1
B848.2能力与才能(技能),B848.2
B848.3兴趣、态度,B848.3
B848.4信念、意志、行为,B848.4
B848.5智力、智慧,B848.5
B848.6性格,B848.6
B848.8个别差异,B848.8
B848.9其他,B848.9
B849应用心理学,B849
B9宗教,B9
B91对宗教的分析和研究,B91
B911宗教与社会政治,B911
B913宗教与科学,B913
B916对宗教的分析和研究,B916
B917破除迷信,B917
B92宗教理论与概况,B92
